method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.01,1,6.916510105133057,22.181869506835938,92.86458587646484,0.2646511495113373,0.9571572580645161,0.9563430919363123,0.9898845223331368
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.1,4,0.9947638511657715,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.1,4,0.9162461757659912,22.22589874267578,92.97913360595703,1.565986156463623,0.9576612903225806,0.9568345323741007,0.989876390103076
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.1,4,6.845293760299683,22.323593139648438,95.4771957397461,2.65733003616333,0.9586693548387096,0.9578189300411524,0.9898245471364386
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.1,3,0.9697084426879883,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.1,3,1.1480801105499268,22.21060562133789,93.06541442871094,1.4837532043457031,0.9576612903225806,0.9568345323741007,0.9898479272978633
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.1,3,6.701946496963501,22.455427169799805,93.38294219970703,2.6215898990631104,0.9571572580645161,0.9562532166752445,0.9899882082664119
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.1,2,1.128598690032959,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.1,2,0.913367509841919,22.22296905517578,93.05335998535156,1.4361555576324463,0.9576612903225806,0.9568345323741007,0.9898641917579849
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.1,2,6.912458419799805,22.362777709960938,92.07032012939453,2.571042776107788,0.9561491935483871,0.9553158705701079,0.989949580173623
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.1,1,1.1958625316619873,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.1,1,1.1315536499023438,22.228151321411133,93.07290649414062,1.5149166584014893,0.9571572580645161,0.9562982005141388,0.9898652082867425
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.1,1,6.707202672958374,22.328672409057617,92.22016143798828,2.6465094089508057,0.9566532258064516,0.9558974358974358,0.9899038363795312
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.1,0,1.1728947162628174,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.1,0,1.1516966819763184,22.18539810180664,93.0974349975586,1.5576374530792236,0.9576612903225806,0.9568345323741007,0.989876390103076
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.1,0,6.795621633529663,22.463523864746094,91.0483169555664,2.664386510848999,0.9551411290322581,0.9543355566957414,0.9898316628377417
baseline,0.0001,True,0,Adam,0.01,False,1024,20,0.1,5,1.191164493560791,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,0.1,5,1.1485717296600342,22.224227905273438,93.03993225097656,1.5143600702285767,0.9576612903225806,0.9568345323741007,0.9898865553906521
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,0.1,5,6.8882575035095215,22.335527420043945,92.74827575683594,2.5711472034454346,0.9551411290322581,0.9541945445187854,0.9897747372273162
baseline,0.0001,True,0,Adam,0.01,False,1024,20,1,0,1.1715304851531982,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,1,0,1.2519867420196533,25.627927780151367,95.87687683105469,14.022270202636719,0.9571572580645161,0.9562982005141388,0.9897300099619819
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,1,0,6.50356388092041,35.45295715332031,101.98479461669922,26.643863677978516,0.953125,0.9522342064714947,0.9881655722040378
baseline,0.0001,True,0,Adam,0.01,False,1024,20,1,2,1.3491551876068115,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,1,2,1.35086989402771,25.695981979370117,95.33397674560547,13.480576515197754,0.9566532258064516,0.9557613168724279,0.9897462744221035
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,1,2,6.507888555526733,34.17268753051758,98.91096496582031,25.710430145263672,0.952116935483871,0.9511065362840968,0.9890621505682395
baseline,0.0001,True,0,Adam,0.01,False,1024,20,1,3,1.346428394317627,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,1,3,1.4564309120178223,25.80559730529785,95.48836517333984,13.898707389831543,0.9561491935483871,0.9553617239610056,0.9893762579543375
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,1,3,6.500837326049805,35.112945556640625,111.23287963867188,26.215892791748047,0.9591733870967742,0.958139534883721,0.9901782991440828
baseline,0.0001,True,0,Adam,0.01,False,1024,20,1,4,1.3384044170379639,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,1,4,1.4698750972747803,26.182628631591797,94.75989532470703,14.454591751098633,0.9551411290322581,0.954241645244216,0.9896720678227988
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,1,4,6.504961252212524,34.508914947509766,133.7802734375,26.57330322265625,0.9485887096774194,0.9470954356846473,0.9873015227600789
baseline,0.0001,True,0,Adam,0.01,False,1024,20,1,1,1.4176409244537354,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,1,1,1.4977073669433594,26.023548126220703,95.63859558105469,14.009110450744629,0.9546370967741935,0.9537037037037038,0.9897452578933458
Golatkar,0.0001,True,0,Adam,0.01,False,1024,20,1,1,6.561474561691284,34.466922760009766,132.8501739501953,26.465105056762695,0.9551411290322581,0.9547993905535805,0.9888019192062945
baseline,0.0001,True,0,Adam,0.01,False,1024,20,1,5,1.4814538955688477,22.181299209594727,92.99502563476562,0.0,0.9576612903225806,0.9568345323741007,0.9898824892756216
Guo,0.0001,True,0,Adam,0.01,False,1024,20,1,5,1.424342393875122,25.90849494934082,95.23143005371094,13.935091972351074,0.9586693548387096,0.9578189300411524,0.9899292495984713
