method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,0,82.37866115570068,0.46274328231811523,27.444551467895508,23.68623161315918,0.9390120967741935,0.9406571848945562,0.9872984731738061,0.8302726766833611,0.0,nan,0.9704339532665713,0.9789366400543571,0.9939570817462989
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,1,82.39422535896301,0.4364767074584961,27.454439163208008,23.68992042541504,0.9390120967741935,0.9406571848945562,0.9873076219326244,0.8302726766833611,0.0,nan,0.9703147353361946,0.9788535031847134,0.9939563407054993
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,1,82.27353000640869,0.5160987377166748,36.00181198120117,24.33597183227539,0.9561491935483871,0.9563033651431442,0.9902494561571147,0.8906510851419032,0.0,nan,0.9646359273941164,0.9712395011453295,0.991599966778754
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,0,83.07881474494934,0.48833370208740234,35.294219970703125,24.556640625,0.9581653225806451,0.9582704876822524,0.9900431008193222,0.8902337228714524,0.0,nan,0.9634884206133946,0.9703087885985747,0.9915889387893968
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.1,1,83.23962545394897,0.41257214546203613,24.686771392822266,34.150665283203125,0.90625,0.9120982986767485,0.9836115233699961,0.7587358112619631,0.0,nan,0.9773000400587528,0.9855515893251743,0.9948427775722255
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,0.01,1,83.56717944145203,0.40337181091308594,24.519540786743164,33.9804573059082,0.9067540322580645,0.9125295508274232,0.983548498587025,0.7574004006231916,0.0,nan,0.9774335692348778,0.9856378006288774,0.994860880777818
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,1,83.48773050308228,0.42995572090148926,35.80552291870117,41.18220138549805,0.9047379032258065,0.9106382978723404,0.9838300770528797,0.7732027598486535,0.0,nan,0.9770329817065029,0.9853840924541128,0.9943255058619953
Guo,0.0001,True,0.3,0,3594,0,None,3594,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,1,83.53795528411865,0.4479367733001709,36.090736389160156,32.59225082397461,0.936491935483871,0.9382957884427033,0.9873879277044747,0.8419588202559822,0.0,nan,0.9723414401525989,0.9802989130434783,0.9935706626528304
Guo,0.0001,True,0.375,0,4493,0,None,4493,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,0,83.82845282554626,0.41414976119995117,35.15987777709961,40.586944580078125,0.905241935483871,0.9110690633869442,0.9828247301116149,0.7614066325395059,0.0,nan,0.9755641607691281,0.9844638763901858,0.9944065268368808
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,1,2,83.20875000953674,0.47318387031555176,35.2569465637207,23.526084899902344,0.9536290322580645,0.9538152610441767,0.9904425966210584,0.8873121869782972,0.0,nan,0.964531608595869,0.9711522144917699,0.9917529400917061
Guo,0.0001,True,0.2,0,2396,0,None,2396,1,targeted_informed,0,SGD,1.0,False,1024,1000,10,0,82.99655628204346,0.4759368896484375,203.20619201660156,210.75575256347656,0.9107862903225806,0.9123328380386331,0.9681674019558014,0.8676961602671118,0.0,nan,0.9094512831212185,0.9261904761904761,0.9644849093863062
