method,lam,l2_norm,remove_ratio,sampler_seed,minibatch_size,remove_class,sample_prob,num_removes,minibatch_fraction,sampling_type,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,training_time,removal_time,norm,grad_residual,test_accuracy,test_f1_score,test_roc_score,remove_accuracy,remove_f1_score,remove_roc_score,prime_accuracy,prime_f1_score,prime_roc_score
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,2294.5821788311005,32.85541248321533,86.45877838134766,39.98754196166992,0.8588,0.8543290710950129,0.9872275615916919,0.4593333333333333,0.6295111923252626,nan,0.8837657657657658,0.8823837474032323,0.9887765238626562
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,2,2297.3461377620697,32.63586115837097,85.36275482177734,21.74292004108429,0.8583,0.8537035545357621,0.987268588098248,0.46111111111111114,0.6311787072243346,nan,0.8837837837837837,0.882373369679907,0.9887872700446991
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,1,1,2295.3705332279205,34.60052180290222,87.12617492675781,26.056279754638673,0.8865,0.8857446539901661,0.9898327084238391,0.8183333333333334,0.9000916590284143,nan,0.8796969696969696,0.878797103113747,0.9882920767986672
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.01,0,2326.060783624649,33.55542540550232,85.3564224243164,21.077354168891908,0.8581,0.8535266295493286,0.9872675732502909,0.46066666666666667,0.6307622090369694,nan,0.8838198198198198,0.8824132447921239,0.9887881594815257
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,0.1,1,2326.7545907497406,33.38223743438721,85.36444854736328,21.763480639457704,0.8581,0.853463501721393,0.9872654583360287,0.4608888888888889,0.6309704898083359,nan,0.8838018018018018,0.8823916827824348,0.9887892659283471
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,1,2,1972.6198399066925,33.14418077468872,86.93246459960938,30.834786415100098,0.8789,0.877846497869051,0.9888597752424436,0.682,0.8109393579072534,nan,0.8819824561403509,0.8810003344395384,0.9884137021806261
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,1,2,1978.4485998153687,34.115782022476196,87.10263061523438,25.78831367492676,0.8872,0.8864606716439497,0.9898154157061223,0.83,0.9071038251366119,nan,0.8796969696969696,0.8787906789250284,0.9882907148921054
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,10,2,1973.5933675765991,33.133734941482544,160.09133911132812,255.43478393554688,0.8757,0.874573607247526,0.9873634877563692,0.6866666666666666,0.8142292490118578,nan,0.8727894736842106,0.8715868532481205,0.9867896379007564
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,10,2,1977.8713142871857,33.643818616867065,155.6305694580078,254.55989837646484,0.8823,0.8813999534230641,0.9884247939065928,0.8283333333333334,0.9061075660893345,nan,0.870993265993266,0.8698633901885002,0.9868966972811906
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,1,2,1984.0975313186646,32.03048610687256,86.42877960205078,39.41750717163086,0.859,0.8545761510231449,0.9872619963402294,0.4646666666666667,0.6345015930814748,nan,0.8835855855855855,0.8821443528392862,0.9887615251880053
Guo,0.0001,True,0.01,0,600,3,None,600,1,targeted_informed,0,SGD,1.0,False,512,200,10,0,1983.7721173763275,33.62487483024597,156.28208923339844,257.12544403076174,0.8774,0.8764293963194021,0.9879330458939879,0.8283333333333334,0.9061075660893345,nan,0.8701851851851852,0.8690604922373457,0.9865055544650423
Guo,0.0001,True,0.05,0,3000,3,None,3000,1,targeted_informed,0,SGD,1.0,False,512,200,10,1,1982.905074596405,32.76362752914429,160.93685913085938,259.56689300537107,0.8674,0.8661948801442393,0.9870459151136695,0.649,0.7871437234687688,nan,0.8718771929824561,0.8708204569955548,0.9866662597188054
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,10,2,1983.386058807373,31.7467143535614,162.92408752441406,258.5251983642578,0.8562,0.8521664675410053,0.9856156706832172,0.4791111111111111,0.6478365384615384,nan,0.8734954954954955,0.871712516929376,0.9869844014874293
Guo,0.0001,True,0.075,0,4500,3,None,4500,1,targeted_informed,0,SGD,1.0,False,512,200,10,0,1987.7654404640198,31.839310884475708,163.67575073242188,262.47234497070315,0.852,0.8478610806170728,0.9849465456934402,0.476,0.6449864498644986,nan,0.874054054054054,0.8723542833443323,0.9864354424059666
