method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,1,189.21613478660583,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,1,192.29160284996033,21.147125244140625,1158.0704345703125,0.05346441641449928,0.7448452721076727,0.7511623613139298,0.8185098310876036
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,1,0.3897261619567871,21.05879783630371,10689.4033203125,1.819414496421814,0.7503184055626312,0.7388055670585694,0.8190631793749215
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,1,194.21646213531494,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,1,190.41297483444214,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,1,0.30352330207824707,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
baseline,0.0001,True,0,SGD,1.0,False,512,200,1,0,206.03515720367432,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,1,0,183.55166459083557,21.14315414428711,1161.4747314453125,0.06447481364011765,0.744914116553647,0.7511877381771787,0.8185159512566123
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,1,0,0.37665796279907227,21.441667556762695,5519.9306640625,1.866523265838623,0.7507142611269836,0.751858831591571,0.8194849096455807
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,206.8598132133484,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,184.51573371887207,21.146076202392578,1161.921142578125,0.007044968660920858,0.7448624832191663,0.7511666163091281,0.8185293718790635
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,2,0.360337495803833,21.168581008911133,1510.5096435546875,0.20308472216129303,0.7447592165502048,0.7504879197792584,0.8184585500705468
baseline,0.0001,True,0,SGD,1.0,False,512,200,100,1,207.34126234054565,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,100,1,184.6007297039032,21.966474533081055,1034.6011962890625,5.413033962249756,0.7387525386389453,0.7469027729144782,0.8152369201365133
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,100,1,0.3723726272583008,181.24261474609375,139478.078125,181.94146728515625,0.4701215104471447,0.09707598908994927,0.4491401992476626
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,207.95287036895752,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,184.5532705783844,21.146459579467773,1162.0677490234375,0.0005349144921638072,0.7448969054421535,0.7512001880014773,0.818527783741445
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.01,1,0.3602776527404785,21.144805908203125,1255.9674072265625,0.01819421723484993,0.7449829609996214,0.7511128281793292,0.8185515619377939
baseline,0.0001,True,0,SGD,1.0,False,512,200,0,0,209.06784629821777,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0,0,183.7381763458252,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0,0,0.29338908195495605,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
baseline,0.0001,True,0,SGD,1.0,False,512,200,10,0,208.76031279563904,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,10,0,184.19613552093506,21.123327255249023,1157.6553955078125,0.6443760991096497,0.7446559498812433,0.7507727455987098,0.8183900289571018
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,10,0,0.35666799545288086,29.77330780029297,42065.78125,18.665233612060547,0.6614058035867957,0.5616044568245125,0.7724999868396211
baseline,0.0001,True,0,SGD,1.0,False,512,200,0.1,0,209.9924442768097,21.146453857421875,1162.1044921875,0.0,0.744914116553647,0.7512127977439444,0.8185279746262204
Guo,0.0001,True,0,SGD,1.0,False,512,200,0.1,0,184.60731720924377,21.14610481262207,1162.066162109375,0.006443491205573082,0.7448796943306599,0.7511792254880567,0.8185268500659134
Golatkar,0.0001,True,0,SGD,1.0,False,512,200,0.1,0,0.34830617904663086,21.16875648498535,1595.746337890625,0.1866522580385208,0.7448452721076727,0.7506936853611368,0.8186979373631409
