method,lam,l2_norm,sgd_seed,optim,step_size,lr_schedule,training_batch_size,num_steps,noise,noise_seed,perturb_time,norm,grad_residual,model_diff,test_accuracy,test_f1_score,test_roc_score
baseline,0.0001,True,0,SGD,1.0,False,512,60,0,1,430.51557421684265,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,0,1,280.41987442970276,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,0,1,47.7822642326355,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
baseline,0.0001,True,0,SGD,1.0,False,512,60,100,2,430.49916410446167,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,100,2,265.52424120903015,93.31217956542969,6173.078125,81.91539001464844,0.76561,0.7680661791626673,0.8405246170249399
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,100,2,69.83194947242737,1612.0557861328125,105437.734375,1611.7642822265625,0.51233,0.4076570831663205,0.5172209139489403
baseline,0.0001,True,0,SGD,1.0,False,512,60,10,0,430.52467703819275,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,10,0,265.72961354255676,40.07024002075195,3446.09326171875,7.910205364227295,0.87565,0.8766454710486375,0.9438887675499017
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,10,0,69.77546882629395,168.47100830078125,10151.3935546875,164.21218872070312,0.63206,0.634537833488945,0.6790310450151464
baseline,0.0001,True,0,SGD,1.0,False,512,60,1,0,434.50179862976074,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,1,0,266.35899472236633,39.19202423095703,3526.689453125,0.790263831615448,0.8781,0.879206468746284,0.9457095386247263
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,1,0,69.26488256454468,42.34288787841797,3780.251953125,16.42121696472168,0.86425,0.8656751862736367,0.9355444021909658
baseline,0.0001,True,0,SGD,1.0,False,512,60,0.1,2,433.32168984413147,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,0.1,2,270.8598334789276,39.180335998535156,3537.849609375,0.07763642817735672,0.87807,0.8791923035004806,0.945742369251319
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,0.1,2,69.06599640846252,39.205772399902344,2637.853271484375,1.6117643117904663,0.87839,0.8791477436473313,0.9456362057653267
baseline,0.0001,True,0,SGD,1.0,False,512,60,10,2,430.6450033187866,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,10,2,276.70591473579407,40.01366424560547,3635.286865234375,7.7703776359558105,0.87586,0.8768940896469655,0.9440232290588155
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,10,2,68.66578364372253,165.69052124023438,57769.59765625,161.17649841308594,0.61887,0.5472278650937905,0.6833177756873983
baseline,0.0001,True,0,SGD,1.0,False,512,60,100,1,433.2987205982208,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,100,1,275.3312566280365,96.84362030029297,7402.5537109375,84.87625122070312,0.76898,0.7731049519731285,0.8450905481233439
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,100,1,68.91913843154907,1655.531494140625,70594.1015625,1656.2740478515625,0.49785,0.4839422434612815,0.4978864664880379
baseline,0.0001,True,0,SGD,1.0,False,512,60,10,1,430.5139398574829,39.18022918701172,3537.224365234375,0.0,0.87801,0.879140040620201,0.9457434164521672
Guo,0.0001,True,0,SGD,1.0,False,512,60,10,1,278.3051025867462,40.25580596923828,3829.48779296875,8.024715423583984,0.87617,0.8774336589759579,0.9444608960133257
Golatkar,0.0001,True,0,SGD,1.0,False,512,60,10,1,68.857670545578,169.02146911621094,11743.6201171875,165.6273956298828,0.62145,0.6142558720130433,0.6651546351752544
