,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,retrained,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
14,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1500,0.059699570992961526,0.9621975806451613,False,0.9073333333333333,0.92,0.3393369877316646
15,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1600,0.059049833042081445,0.9616935483870968,False,0.899375,0.89,0.36553524804177656
16,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1700,0.05967631202656776,0.9627016129032258,False,0.8964705882352941,0.91,0.3131524008350757
17,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1800,0.05810644297162071,0.9616935483870968,False,0.8966666666666666,0.93,0.36553524804177656
18,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,1900,0.058532373048365116,0.9606854838709677,False,0.8921052631578947,0.9,0.4179728317659348
19,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2000,0.05681017000460997,0.9601814516129032,False,0.8915,0.92,0.44421217663966445
20,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2100,0.05827504303306341,0.9596774193548387,False,0.89,0.91,0.47046523784631283
21,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2200,0.05699943797662854,0.9591733870967742,False,0.884090909090909,0.92,0.49673202614378825
22,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2300,0.057342674990650266,0.9591733870967742,False,0.8817391304347826,0.95,0.49673202614378825
23,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2400,0.05644353496609256,0.9581653225806451,False,0.8779166666666667,0.94,0.5493068270991385
24,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2500,0.06449909001821652,0.9561491935483871,False,0.8732,0.87,0.6546216286986108
25,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2600,0.05629721999866888,0.9546370967741935,False,0.8665384615384616,0.87,0.7337526205450756
26,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2700,0.054720857995562255,0.9516129032258065,False,0.8585185185185186,0.88,0.8923884514435673
27,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2800,0.05398626299574971,0.9516129032258065,False,0.8557142857142858,0.91,0.8923884514435673
28,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,2900,0.05415505397832021,0.9511088709677419,False,0.8517241379310345,0.93,0.9188763454975086
29,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3000,0.05387432599673048,0.9495967741935484,False,0.847,0.89,0.9984235417761435
30,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3100,8.58087963797152,0.9440524193548387,True,0.8338709677419355,0.92,0.0
31,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3200,0.09454038803232834,0.9425403225806451,False,0.8353125,0.89,0.08014961261020932
32,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3300,0.07500288699520752,0.938508064516129,False,0.8281818181818181,0.9,0.2945113788487317
33,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3400,0.07990425999742001,0.9339717741935484,False,0.8191176470588235,0.87,0.5367686527106842
34,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3500,0.06278651900356635,0.9324596774193549,False,0.8114285714285714,0.91,0.6177813591189902
35,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3600,0.05202530696988106,0.9274193548387096,False,0.7983333333333333,0.88,0.8887691893347741
36,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3700,8.059019109001383,0.9213709677419355,True,0.7816216216216216,0.94,0.0
37,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3800,0.053758130001369864,0.922883064516129,False,0.7828947368421053,0.92,0.08198961464880883
38,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,3900,0.05042730399873108,0.9168346774193549,False,0.7733333333333333,0.86,0.2467781738415126
39,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,4000,0.049827984999865294,0.9107862903225806,False,0.75325,0.87,0.5777166437414047
40,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,4100,0.048793887021020055,0.9057459677419355,False,0.7324390243902439,0.84,0.8551724137931035
41,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,4200,7.218867660034448,0.8966733870967742,True,0.7030952380952381,0.89,0.0
42,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,4300,0.05135859700385481,0.8946572580645161,False,0.7013953488372093,0.9,0.11254924029263103
43,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,4400,0.05233161698561162,0.8881048387096774,False,0.6879545454545455,0.89,0.480090369951996
44,Golatkar threshold: 1%,100,4493,0.375,targeted_informed,4493,7.1592185869812965,0.8694556451612904,True,0.6530158023592255,0.8387096774193549,0.0
