,method,unlearning_bz,num_removes,remove_ratio,sampling_type,batch,time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy,pipeline_acc_err
67,Golatkar,1000,78436,0.15,targeted_informed,68000,0.062257532961666584,0.691198237582183,0.33147058823529413,0.355,3.740367445260726
68,Golatkar,1000,78436,0.15,targeted_informed,69000,0.059248428035061806,0.6903204708960105,0.3263478260869565,0.348,3.8038134068833203
69,Golatkar,1000,78436,0.15,targeted_informed,70000,0.05823668901575729,0.6895287597673058,0.3215857142857143,0.366,3.8611057784603573
70,Golatkar,1000,78436,0.15,targeted_informed,71000,0.057381166028790176,0.6878248597294413,0.31591549295774646,0.34,3.9846237011231933
71,Golatkar,1000,78436,0.15,targeted_informed,72000,0.06084764300612733,0.6869643041547623,0.3094722222222222,0.334,4.0471182162389585
72,Golatkar,1000,78436,0.15,targeted_informed,73000,0.06957221095217392,0.6855529930122888,0.30353424657534245,0.356,4.149771997160489
73,Golatkar,1000,78436,0.15,targeted_informed,74000,0.057798407040536404,0.6839179374203986,0.2970675675675676,0.344,4.268953720879807
74,Golatkar,1000,78436,0.15,targeted_informed,75000,0.0568929499713704,0.682919692953771,0.28973333333333334,0.327,4.341851494696238
75,Golatkar,1000,78436,0.15,targeted_informed,76000,0.06078824499854818,0.6812674262503873,0.28307894736842104,0.318,4.462734118555703
76,Golatkar,1000,78436,0.15,targeted_informed,77000,0.05780139600392431,0.680131492891811,0.27636363636363637,0.31,4.546003526655232
77,Golatkar,1000,78436,0.15,targeted_informed,78000,0.05686296703061089,0.6783243261849851,0.269525641025641,0.296,4.678751526731402
78,Golatkar,1000,78436,0.15,targeted_informed,78436,0.05665294796926901,0.6777047261712161,0.26587281350400327,0.23623853211009174,4.724342765887947
