,method,time,num_removes,remove_ratio,sampling_type,batch,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
34,retrain,111.11802482279018,78436,0.15,targeted_informed,35000,0.7225052493890055,0.5033142857142857,0.459
35,retrain,110.38327580271289,78436,0.15,targeted_informed,36000,0.7209390382430897,0.49475,0.475
36,retrain,111.32848207233474,78436,0.15,targeted_informed,37000,0.7158961825754707,0.4811621621621622,0.43
37,retrain,109.5674711028114,78436,0.15,targeted_informed,38000,0.7170665381570341,0.47960526315789476,0.454
38,retrain,110.44046144513413,78436,0.15,targeted_informed,39000,0.7179615159547004,0.48135897435897435,0.459
39,retrain,111.09718023194,78436,0.15,targeted_informed,40000,0.714037382534164,0.4673,0.381
40,retrain,109.6596200587228,78436,0.15,targeted_informed,41000,0.7118171491514922,0.45958536585365856,0.392
41,retrain,110.22510087490082,78436,0.15,targeted_informed,42000,0.714243915872087,0.46354761904761904,0.401
42,retrain,110.03688071295619,78436,0.15,targeted_informed,43000,0.7105091046779801,0.44927906976744186,0.409
43,retrain,107.79078516596928,78436,0.15,targeted_informed,44000,0.7136759491927989,0.45586363636363636,0.383
44,retrain,108.86257197102532,78436,0.15,targeted_informed,45000,0.7135038380778631,0.4540666666666667,0.4
45,retrain,108.56776573415846,78436,0.15,targeted_informed,46000,0.708254449072321,0.43467391304347824,0.372
46,retrain,109.08594978088513,78436,0.15,targeted_informed,47000,0.7120925269353895,0.44668085106382976,0.397
47,retrain,108.59363978588954,78436,0.15,targeted_informed,48000,0.7096829713262882,0.43464583333333334,0.389
48,retrain,110.75447003077716,78436,0.15,targeted_informed,49000,0.7075487935010843,0.42497959183673467,0.388
49,retrain,110.11762699112296,78436,0.15,targeted_informed,50000,0.7081683935148532,0.42484,0.377
50,retrain,109.0782062378712,78436,0.15,targeted_informed,51000,0.7061030601356235,0.419,0.375
51,retrain,108.95711931912228,78436,0.15,targeted_informed,52000,0.7036762934150288,0.4070576923076923,0.391
52,retrain,108.21769777033478,78436,0.15,targeted_informed,53000,0.7051908712264638,0.41230188679245283,0.381
53,retrain,105.60204042727128,78436,0.15,targeted_informed,54000,0.7040033045334068,0.4045185185185185,0.377
54,retrain,105.67121216002852,78436,0.15,targeted_informed,55000,0.703091115624247,0.4012181818181818,0.413
55,retrain,107.37884734477848,78436,0.15,targeted_informed,56000,0.6990637155347492,0.380125,0.335
56,retrain,108.74655760917813,78436,0.15,targeted_informed,57000,0.7010602044680045,0.3899298245614035,0.368
57,retrain,107.15284438617527,78436,0.15,targeted_informed,58000,0.7021789267150873,0.3964310344827586,0.401
58,retrain,108.15367215499282,78436,0.15,targeted_informed,59000,0.6994595710991016,0.3787966101694915,0.354
59,retrain,106.09177333535627,78436,0.15,targeted_informed,60000,0.6989776599772813,0.37711666666666666,0.337
60,retrain,105.99291007174179,78436,0.15,targeted_informed,61000,0.6951567932257066,0.3585901639344262,0.36
61,retrain,104.27514387201518,78436,0.15,targeted_informed,62000,0.6956903376820075,0.3577258064516129,0.342
62,retrain,107.08136194525287,78436,0.15,targeted_informed,63000,0.6960861932463599,0.3601587301587302,0.358
63,retrain,106.90248825401068,78436,0.15,targeted_informed,64000,0.6966369488141544,0.36015625,0.352
64,retrain,105.07526655122638,78436,0.15,targeted_informed,65000,0.6922825376062786,0.34107692307692306,0.341
65,retrain,104.78330386197194,78436,0.15,targeted_informed,66000,0.6911638153591959,0.3350151515151515,0.339
66,retrain,104.38087417976931,78436,0.15,targeted_informed,67000,0.6915940931465354,0.3318805970149254,0.317
67,retrain,104.96850051777437,78436,0.15,targeted_informed,68000,0.6913875598086124,0.33351470588235294,0.358
68,retrain,105.25392926577479,78436,0.15,targeted_informed,69000,0.690217204227049,0.3257391304347826,0.347
69,retrain,104.35077446419746,78436,0.15,targeted_informed,70000,0.689563181990293,0.32171428571428573,0.366
70,retrain,103.50856434879825,78436,0.15,targeted_informed,71000,0.6867061374823586,0.31140845070422535,0.334
71,retrain,102.5503159579821,78436,0.15,targeted_informed,72000,0.6847440707720904,0.30091666666666667,0.318
72,retrain,104.61393004003912,78436,0.15,targeted_informed,73000,0.6874978486110633,0.3111506849315068,0.371
73,retrain,103.52598771965131,78436,0.15,targeted_informed,74000,0.6842621596502703,0.3000675675675676,0.352
74,retrain,103.90127178793773,78436,0.15,targeted_informed,75000,0.6843482152077381,0.29612,0.346
75,retrain,103.3904179641977,78436,0.15,targeted_informed,76000,0.6822484596055213,0.28588157894736843,0.325
76,retrain,103.62170838471502,78436,0.15,targeted_informed,77000,0.6769646483769922,0.2667012987012987,0.291
77,retrain,102.01707841316238,78436,0.15,targeted_informed,78000,0.6786169150803759,0.27079487179487177,0.301
78,retrain,101.8583514499478,78436,0.15,targeted_informed,78436,0.6815428040342846,0.28036870824621346,0.26376146788990823
